1	,0 ,4  ,1	,0	,14
2	,0 ,4  ,2	,14.1	,20.1
3	,0 ,4  ,3	,20.2	,22.3
4	,0 ,4  ,4	,22.4	,32.3
5	,0 ,4  ,5	,3.24	,100
6	,0 ,5  ,1	,0	,14.3
7	,0 ,5  ,2	,14.4	,20.9
8	,0 ,5  ,3	,21	,23.3
9	,0 ,5  ,4	,23.4	,33.3
10	,0 ,5  ,5	,33.4	,100
11	,0 ,6  ,1	,0	,14.9
12	,0 ,6  ,2	,15	,21.7
13	,0 ,6  ,3	,21.8	,24
14	,0 ,6  ,4	,24	,34
15	,0 ,6  ,5	,34.1	,100
16	,1 ,4  ,1	,0	,14.3
17	,1 ,4  ,2	,14.4	,21.1
18	,1 ,4  ,3	,21.2	,23.7
19	,1 ,4  ,4	,23.8	,33.8
20	,1 ,4  ,5	,33.9	,100
21	,1 ,5  ,1	,0	,14.6
22	,1 ,5  ,2	,14.7	,21.7
23	,1 ,5  ,3	,21.8	,24.4
24	,1 ,5  ,4	,24.5	,34.5
25	,1 ,5  ,5	,34.6	,100
26	,1 ,6  ,1	,0	,15
27	,1 ,6  ,2	,15.1	,22.3
28	,1 ,6  ,3	,22.4	,25.1
29	,1 ,6  ,4	,25.2	,35.2
30	,1 ,6  ,5	,35.3	,100
