1	0 4  1	8.7	8.8
2	0 4  2	8.81	9.7
3	0 4  3	9.71	10.5
4	0 4  4	10.51	13.2
5	0 4  5	13.21	16.01
6	0 5  1	8.3	8.5
7	0 5  2	8.51	9.4
8	0 5  3	9.41	10.2
9	0 5  4	10.21	13.2
10	0 5  5	13.21	15.56
11	0 6  1	7.77	8.1
12	0 6  2	8.11	9.1
13	0 6  3	9.11	10
14	0 6  4	10.01	12.5
15	0 6  5	12.51	15.51
16	1 4  1	9.3	9.4
17	1 4  2	9.41	10.4
18	1 4  3	10.41	11
19	1 4  4	11.01	13.3
20	1 4  5	13.31	18.42
21	1 5  1	8.73	8.9
22	1 5  2	8.91	9.8
23	1 5  3	9.81	10.7
24	1 5  4	10.71	13
25	1 5  5	13.01	15.91
26	1 6  1	8.66	8.9
27	1 6  2	8.91	9.8
28	1 6  3	9.81	10.7
29	1 6  4	10.71	12.9
30	1 6  5	12.91	15
