1	,0 ,4  ,1	,31	,36
2	,0 ,4  ,2	,18.5	,30.9
3	,0 ,4  ,3	,15	,18.4
4	,0 ,4  ,4	,11.5	,14.9
5	,0 ,4  ,5	,8.9	,11.4
6	,0 ,5  ,1	,31	,37
7	,0 ,5  ,2	,23	,30.9
8	,0 ,5  ,3	,17	,22.9
9	,0 ,5  ,4	,12.5	,16.9
10	,0 ,5  ,5	,9.9	,12.4
11	,0 ,6  ,1	,35.9	,39.4
12	,0 ,6  ,2	,26.5	,34.9
13	,0 ,6  ,3	,19	,26.4
14	,0 ,6  ,4	,15	,18.9
15	,0 ,6  ,5	,11.2	,14.9
16	,1 ,4  ,1	,29	,33.6
17	,1 ,4  ,2	,18	,28.9
18	,1 ,4  ,3	,13.5	,17.9
19	,1 ,4  ,4	,10.5	,13.4
20	,1 ,4  ,5	,8.5	,10.4
21	,1 ,5  ,1	,29	,35
22	,1 ,5  ,2	,19	,28.9
23	,1 ,5  ,3	,15.5	,18.9
24	,1 ,5  ,4	,12	,15.4
25	,1 ,5  ,5	,10.6	,11.9
26	,1 ,6  ,1	,33	,39
27	,1 ,6  ,2	,22	,32.9
28	,1 ,6  ,3	,19	,21.9
29	,1 ,6  ,4	,14	,18.9
30	,1 ,6  ,5	,10	,13.9
31	,0 ,7  ,1	,42	,46
32	,0 ,7  ,2	,30	,41.9
33	,0 ,7  ,3	,22.5	,29.9
34	,0 ,7  ,4	,16.5	,22.4
35	,0 ,7  ,5	,14.4	,16.4
36	,0 ,8  ,1	,44.5	,47
37	,0 ,8  ,2	,37	,44.4
38	,0 ,8  ,3	,28.5	,36.9
39	,0 ,8  ,4	,22	,28.4
40	,0 ,8  ,5	,19.1	,21.9
41	,0 ,9  ,1	,48.5	,50
42	,0 ,9  ,2	,40.5	,48.4
43	,0 ,9  ,3	,33	,40.4
44	,0 ,9  ,4	,25	,32.9
45	,0 ,9  ,5	,19.1	,24.9
46	,1 ,7  ,1	,36	,38
47	,1 ,7  ,2	,23	,35.9
48	,1 ,7  ,3	,19	,22.9
49	,1 ,7  ,4	,14	,18.9
50	,1 ,7  ,5	,11.9	,13.9
51	,1 ,8  ,1	,36	,38
52	,1 ,8  ,2	,25.5	,35.9
53	,1 ,8  ,3	,19.5	,25.4
54	,1 ,8  ,4	,14	,19.4
55	,1 ,8  ,5	,13	,13.9
56	,1 ,9  ,1	,36	,38
57	,1 ,9  ,2	,27.5	,35.9
58	,1 ,9  ,3	,19.5	,27.4
59	,1 ,9  ,4	,16	,19.4
60	,1 ,9  ,5	,14.9	,15.9
61	,0 ,10  ,1	,61	,62.5
62	,0 ,10  ,2	,42.5	,60.9
63	,0 ,10  ,3	,35.5	,42.4
64	,0 ,10  ,4	,29	,35.4
65	,0 ,10  ,5	,25.5	,28.9
66	,0 ,11  ,1	,61	,65
67	,0 ,11  ,2	,46	,60.9
68	,0 ,11  ,3	,39	,45.9
69	,0 ,11  ,4	,31	,38.9
70	,0 ,11  ,5	,28.5	,30.9
71	,0 ,12  ,1	,63.5	,68.4
72	,0 ,12  ,2	,46	,63.4
73	,0 ,12  ,3	,39	,45.9
74	,0 ,12  ,4	,31	,38.9
75	,0 ,12  ,5	,28.5	,30.9
76	,1 ,10  ,1	,36	,38
77	,1 ,10  ,2	,29	,35.9
78	,1 ,10  ,3	,23	,28.9
79	,1 ,10  ,4	,16.5	,22.9
80	,1 ,10  ,5	,16	,16.4
81	,1 ,11  ,1	,37.5	,38.2
82	,1 ,11  ,2	,29.5	,37.4
83	,1 ,11  ,3	,25	,29.4
84	,1 ,11  ,4	,18	,24.9
85	,1 ,11  ,5	,17.6	,17.9
86	,1 ,12  ,1	,37.5	,38.2
87	,1 ,12  ,2	,29.5	,37.4
88	,1 ,12  ,3	,25	,29.4
89	,1 ,12  ,4	,18	,24.9
90	,1 ,12  ,5	,17.6	,17.9
