1	,0 ,5  ,1	,268	,281
2	,0 ,5  ,2	,282	,324
3	,0 ,5  ,3	,325	,409
4	,0 ,5  ,4	,410	,479
5	,0 ,5  ,5	,480	,640
6	,0 ,6  ,1	,243	,250
7	,0 ,6  ,2	,251	,341
8	,0 ,6  ,3	,315	,379
9	,0 ,6  ,4	,380	,449
10	,0 ,6  ,5	,450	,587
11	,1 ,5  ,1	,268	,299
12	,1 ,5  ,2	,300	,359
13	,1 ,5  ,3	,360	,441
14	,1 ,5  ,4	,442	,501
15	,1 ,5  ,5	,502	,640
16	,1 ,6  ,1	,243	,299
17	,1 ,6  ,2	,300	,353
18	,1 ,6  ,3	,354	,429
19	,1 ,6  ,4	,430	,479
20	,1 ,6  ,5	,480	,587
21	,0 ,7  ,1	,400	,425
22	,0 ,7  ,2	,426	,502
23	,0 ,7  ,3	,503	,599
24	,0 ,7  ,4	,600	,699
25	,0 ,7  ,5	,700	,791
26	,0 ,8  ,1	,380	,416
27	,0 ,8  ,2	,417	,487
28	,0 ,8  ,3	,488	,583
29	,0 ,8  ,4	,584	,679
30	,0 ,8  ,5	,680	,774
31	,0 ,9  ,1	,370	,407
32	,0 ,9  ,2	,408	,472
33	,0 ,9  ,3	,473	,567
34	,0 ,9  ,4	,568	,659
35	,0 ,9  ,5	,660	,761
36	,1 ,7  ,1	,355	,379
37	,1 ,7  ,2	,380	,442
38	,1 ,7  ,3	,443	,517
39	,1 ,7  ,4	,518	,608
40	,1 ,7  ,5	,609	,661
41	,1 ,8  ,1	,355	,379
42	,1 ,8  ,2	,380	,442
43	,1 ,8  ,3	,443	,517
44	,1 ,8  ,4	,518	,608
45	,1 ,8  ,5	,609	,661
46	,1 ,9  ,1	,355	,379
47	,1 ,9  ,2	,380	,442
48	,1 ,9  ,3	,443	,517
49	,1 ,9  ,4	,518	,608
50	,1 ,9  ,5	,609	,661
51	,0 ,10  ,1	,370	,398
52	,0 ,10  ,2	,399	,457
53	,0 ,10  ,3	,458	,551
54	,0 ,10  ,4	,552	,639
55	,0 ,10  ,5	,640	,755
56	,0 ,11  ,1	,370	,389
57	,0 ,11  ,2	,390	,442
58	,0 ,11  ,3	,443	,535
59	,0 ,11  ,4	,536	,619
60	,0 ,11  ,5	,620	,721
61	,0 ,12  ,1	,362	,380
62	,0 ,12  ,2	,381	,427
63	,0 ,12  ,3	,428	,519
64	,0 ,12  ,4	,520	,599
65	,0 ,12  ,5	,600	,701
66	,1 ,10  ,1	,355	,379
67	,1 ,10  ,2	,380	,442
68	,1 ,10  ,3	,443	,517
69	,1 ,10  ,4	,518	,608
70	,1 ,10  ,5	,609	,661
71	,1 ,11  ,1	,355	,379
72	,1 ,11  ,2	,380	,442
73	,1 ,11  ,3	,443	,517
74	,1 ,11  ,4	,518	,608
75	,1 ,11  ,5	,609	,661
76	,1 ,12  ,1	,355	,379
77	,1 ,12  ,2	,380	,442
78	,1 ,12  ,3	,443	,517
79	,1 ,12  ,4	,518	,608
80	,1 ,12  ,5	,609	,661
