1	,0 ,5  ,1	,8	,18
2	,0 ,5  ,2	,5	,7.9
3	,0 ,5  ,3	,1	,4.9
4	,0 ,5  ,4	,-4	,0.9
5	,0 ,5  ,5	,-5.1	,-4.1
6	,0 ,6  ,1	,8	,18
7	,0 ,6  ,2	,5	,7.9
8	,0 ,6  ,3	,1	,4.9
9	,0 ,6  ,4	,-4	,0.9
10	,0 ,6  ,5	,-5.1	,-4.1
11	,1 ,5  ,1	,10	,22
12	,1 ,5  ,2	,7	,9.9
13	,1 ,5  ,3	,5	,6.9
14	,1 ,5  ,4	,1	,4.9
15	,1 ,5  ,5	,-0.1	,0.9
16	,1 ,6  ,1	,14	,26
17	,1 ,6  ,2	,10	,13.9
18	,1 ,6  ,3	,5	,9.9
19	,1 ,6  ,4	,2	,4.9
20	,1 ,6  ,5	,-0.1	,1.9
21	,0 ,7  ,1	,10	,25
22	,0 ,7  ,2	,6	,9.9
23	,0 ,7  ,3	,2	,5.9
24	,0 ,7  ,4	,-4.0	,1.9
25	,0 ,7  ,5	,-5.1	,-4.1
26	,0 ,8  ,1	,10	,25
27	,0 ,8  ,2	,7	,9.9
28	,0 ,8  ,3	,2	,6.9
29	,0 ,8  ,4	,-4	,1.9
30	,0 ,8  ,5	,-5.1	,-4.1
31	,0 ,9  ,1	,10	,25
32	,0 ,9  ,2	,7	,9.9
33	,0 ,9  ,3	,2.6	,6.9
34	,0 ,9  ,4	,-3	,2.5
35	,0 ,9  ,5	,-5.1	,-3.1
36	,1 ,7  ,1	,15	,28
37	,1 ,7  ,2	,11	,14.9
38	,1 ,7  ,3	,8	,10.9
39	,1 ,7  ,4	,2	,7.9
40	,1 ,7  ,5	,-0.1	,1.9
41	,1 ,8  ,1	,15	,28
42	,1 ,8  ,2	,11	,14.9
43	,1 ,8  ,3	,8	,10.9
44	,1 ,8  ,4	,2	,7.9
45	,1 ,8  ,5	,-0.1	,1.9
46	,1 ,9  ,1	,16	,28
47	,1 ,9  ,2	,11	,15.9
48	,1 ,9  ,3	,8	,10.9
49	,1 ,9  ,4	,2	,7.9
50	,1 ,9  ,5	,-0.1	,1.9
51	,0 ,10  ,1	,13	,28
52	,0 ,10  ,2	,9	,12.9
53	,0 ,10  ,3	,4	,8.9
54	,0 ,10  ,4	,-2	,3.9
55	,0 ,10  ,5	,-3.1	,-2.1
56	,0 ,11  ,1	,16	,28
57	,0 ,11  ,2	,11	,15.9
58	,0 ,11  ,3	,5	,10.9
59	,0 ,11  ,4	,0.1	,4.9
60	,0 ,11  ,5	,-3.1	,0
61	,0 ,12  ,1	,16	,28
62	,0 ,12  ,2	,11	,15.9
63	,0 ,12  ,3	,6	,10.9
64	,0 ,12  ,4	,0.1	,5.9
65	,0 ,12  ,5	,-3.1	,0
66	,1 ,10  ,1	,16	,28
67	,1 ,10  ,2	,11	,15.9
68	,1 ,10  ,3	,8	,10.9
69	,1 ,10  ,4	,2	,7.9
70	,1 ,10  ,5	,-0.1	,1.9
71	,1 ,11  ,1	,17	,28
72	,1 ,11  ,2	,12	,16.9
73	,1 ,11  ,3	,9	,11.9
74	,1 ,11  ,4	,5	,8.9
75	,1 ,11  ,5	,-0.1	,4.9
76	,1 ,12  ,1	,17	,28
77	,1 ,12  ,2	,12	,16.9
78	,1 ,12  ,3	,9	,11.9
79	,1 ,12  ,4	,5	,8.9
80	,1 ,12  ,5	,-0.1	,4.9
