1	,0 ,4  ,1	,80	,120
2	,0 ,4  ,2	,40	,79
3	,0 ,4  ,3	,22	,39
4	,0 ,4  ,4	,7	,21
5	,0 ,4  ,5	,0	,6
6	,0 ,5  ,1	,80	,120
7	,0 ,5  ,2	,40	,79
8	,0 ,5  ,3	,22	,39
9	,0 ,5  ,4	,10	,21
10	,0 ,5  ,5	,0	,9
11	,0 ,6  ,1	,80	,120
12	,0 ,6  ,2	,40	,79
13	,0 ,6  ,3	,22	,39
14	,0 ,6  ,4	,10	,21
15	,0 ,6  ,5	,0	,9
16	,1 ,4  ,1	,60	,90
17	,1 ,4  ,2	,29	,59
18	,1 ,4  ,3	,18	,28
19	,1 ,4  ,4	,6	,17
20	,1 ,4  ,5	,0	,5
21	,1 ,5  ,1	,60	,90
22	,1 ,5  ,2	,36	,59
23	,1 ,5  ,3	,23	,35
24	,1 ,5  ,4	,7	,22
25	,1 ,5  ,5	,0	,6
26	,1 ,6  ,1	,60	,90
27	,1 ,6  ,2	,43	,59
28	,1 ,6  ,3	,23	,42
29	,1 ,6  ,4	,7	,22
30	,1 ,6  ,5	,0	,6
31	,0 ,7  ,1	,89	,130
32	,0 ,7  ,2	,55	,89
33	,0 ,7  ,3	,33	,54
34	,0 ,7  ,4	,14	,32
35	,0 ,7  ,5	,5	,13
36	,0 ,8  ,1	,89	,130
37	,0 ,8  ,2	,55	,89
38	,0 ,8  ,3	,33	,54
39	,0 ,8  ,4	,14	,32
40	,0 ,8  ,5	,5	,13
41	,0 ,9  ,1	,89	,130
42	,0 ,9  ,2	,55	,89
43	,0 ,9  ,3	,33	,54
44	,0 ,9  ,4	,14	,32
45	,0 ,9  ,5	,5	,13
46	,1 ,7  ,1	,58	,62
47	,1 ,7  ,2	,43	,57
48	,1 ,7  ,3	,22	,42
49	,1 ,7  ,4	,7	,21
50	,1 ,7  ,5	,0	,6
51	,1 ,8  ,1	,58	,62
52	,1 ,8  ,2	,39	,57
53	,1 ,8  ,3	,19	,38
54	,1 ,8  ,4	,7	,18
55	,1 ,8  ,5	,0	,6
56	,1 ,9  ,1	,52	,60
57	,1 ,9  ,2	,34	,51
58	,1 ,9  ,3	,17	,33
59	,1 ,9  ,4	,6	,16
60	,1 ,9  ,5	,0	,5
61	,0 ,10  ,1	,90	,130
62	,0 ,10  ,2	,60	,89
63	,0 ,10  ,3	,35	,59
64	,0 ,10  ,4	,15	,34
65	,0 ,10  ,5	,8	,14
66	,0 ,11  ,1	,90	,130
67	,0 ,11  ,2	,60	,89
68	,0 ,11  ,3	,35	,59
69	,0 ,11  ,4	,17	,34
70	,0 ,11  ,5	,10	,16
71	,0 ,12  ,1	,90	,130
72	,0 ,12  ,2	,60	,89
73	,0 ,12  ,3	,35	,59
74	,0 ,12  ,4	,17	,34
75	,0 ,12  ,5	,10	,16
76	,1 ,10  ,1	,40	,50
77	,1 ,10  ,2	,30	,39
78	,1 ,10  ,3	,13	,29
79	,1 ,10  ,4	,4	,12
80	,1 ,10  ,5	,0	,3
81	,1 ,11  ,1	,40	,50
82	,1 ,11  ,2	,30	,39
83	,1 ,11  ,3	,13	,29
84	,1 ,11  ,4	,4	,12
85	,1 ,11  ,5	,0	,3
86	,1 ,12  ,1	,40	,50
87	,1 ,12  ,2	,30	,39
88	,1 ,12  ,3	,13	,29
89	,1 ,12  ,4	,4	,12
90	,1 ,12  ,5	,0	,3
