1	,0 ,4  ,1	,170.1	,179.4
2	,0 ,4  ,2	,149.1	,170
3	,0 ,4  ,3	,130.1	,149
4	,0 ,4  ,4	,100.1	,130
5	,0 ,4  ,5	,98.2	,100
6	,0 ,5  ,1	,180.1	,187.4
7	,0 ,5  ,2	,159.1	,180
8	,0 ,5  ,3	,141.1	,159
9	,0 ,5  ,4	,111.1	,141
10	,0 ,5  ,5	,105.6	,111
11	,0 ,6  ,1	,200.1	,204.7
12	,0 ,6  ,2	,167.1	,200
13	,0 ,6  ,3	,148.1	,167
14	,0 ,6  ,4	,122.1	,148
15	,0 ,6  ,5	,112	,122
16	,1 ,4  ,1	,161.1	,165.5
17	,1 ,4  ,2	,135.1	,161
18	,1 ,4  ,3	,119.1	,135
19	,1 ,4  ,4	,97.1	,119
20	,1 ,4  ,5	,87.4	,97
21	,1 ,5  ,1	,170.1	,175
22	,1 ,5  ,2	,139.1	,170
23	,1 ,5  ,3	,123.1	,139
24	,1 ,5  ,4	,100.1	,123
25	,1 ,5  ,5	,89.3	,100
26	,1 ,6  ,1	,175.1	,177.8
27	,1 ,6  ,2	,144.1	,175
28	,1 ,6  ,3	,127.1	,144
29	,1 ,6  ,4	,100.1	,127
30	,1 ,6  ,5	,89.9	,100
31	,0 ,7  ,1	,211.1	,219.7
32	,0 ,7  ,2	,177.1	,211
33	,0 ,7  ,3	,159.1	,177
34	,0 ,7  ,4	,131.1	,159
35	,0 ,7  ,5	,122.9	,131
36	,0 ,8  ,1	,218.1	,229.3
37	,0 ,8  ,2	,187.1	,218
38	,0 ,8  ,3	,169.1	,187
39	,0 ,8  ,4	,136.1	,169
40	,0 ,8  ,5	,129.9	,136
41	,0 ,9  ,1	,238.1	,244
42	,0 ,9  ,2	,201.1	,238
43	,0 ,9  ,3	,180.1	,201
44	,0 ,9  ,4	,145.1	,180
45	,0 ,9  ,5	,141.4	,145
46	,1 ,7  ,1	,175.1	,180.5
47	,1 ,7  ,2	,144.1	,175
48	,1 ,7  ,3	,127.1	,144
49	,1 ,7  ,4	,100.1	,127
50	,1 ,7  ,5	,89.9	,100
51	,1 ,8  ,1	,183.1	,198
52	,1 ,8  ,2	,145.1	,183
53	,1 ,8  ,3	,127.1	,145
54	,1 ,8  ,4	,100.1	,127
55	,1 ,8  ,5	,93.9	,100
56	,1 ,9  ,1	,183.1	,198
57	,1 ,9  ,2	,145.1	,183
58	,1 ,9  ,3	,127.1	,145
59	,1 ,9  ,4	,100.1	,127
60	,1 ,9  ,5	,94.9	,100
61	,0 ,10  ,1	,255.1	,260.2
62	,0 ,10  ,2	,216.1	,255
63	,0 ,10  ,3	,195.1	,216
64	,0 ,10  ,4	,160.1	,195
65	,0 ,10  ,5	,139.9	,160
66	,0 ,11  ,1	,258.1	,270
67	,0 ,11  ,2	,228.1	,258
68	,0 ,11  ,3	,212.1	,228
69	,0 ,11  ,4	,177.1	,212
70	,0 ,11  ,5	,162.9	,177
71	,0 ,12  ,1	,264.1	,277.1
72	,0 ,12  ,2	,243.1	,264
73	,0 ,12  ,3	,221.1	,243
74	,0 ,12  ,4	,185.1	,221
75	,0 ,12  ,5	,169.9	,185
76	,1 ,10  ,1	,186.1	,200
77	,1 ,10  ,2	,159.1	,186
78	,1 ,10  ,3	,139.1	,159
79	,1 ,10  ,4	,100.1	,139
80	,1 ,10  ,5	,94.9	,100
81	,1 ,11  ,1	,186.1	,200
82	,1 ,11  ,2	,159.1	,186
83	,1 ,11  ,3	,139.1	,159
84	,1 ,11  ,4	,100.1	,139
85	,1 ,11  ,5	,94.9	,100
86	,1 ,12  ,1	,186.1	,200
87	,1 ,12  ,2	,159.1	,186
88	,1 ,12  ,3	,139.1	,159
89	,1 ,12  ,4	,100.1	,139
90	,1 ,12  ,5	,94.9	,100
